hallucination, attn_max, attn_min
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
True, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
True, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
True, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
True, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
True, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
False, 1.0, 0.0
